id,question,expected_route_raw,expected_route,actual_route,route_correct,question_type,difficulty,latency_seconds,error,has_error
1,What should a customer do if they receive the wrong product?,pdf_retrieval,pdf,pdf,True,policy_lookup,medium,1.2429,,False
2,What are the conditions for free shipping?,pdf_retrieval,pdf,pdf,True,policy_lookup,medium,0.6743,,False
3,Can an order be cancelled after shipment?,pdf_retrieval,pdf,hybrid,False,policy_lookup,medium,0.5073,,False
4,What documents are required to claim warranty?,pdf_retrieval,pdf,pdf,True,policy_lookup,medium,0.9091,,False
5,What products are not eligible for return?,pdf_retrieval,pdf,pdf,True,policy_lookup,medium,0.8255,,False
6,What products are included in order 00010242fe8c5a6d1ba2dd792cb16214?,structured_lookup,sql,sql,True,sql_lookup,medium,0.4907,,False
7,What is the total value of order 00010242fe8c5a6d1ba2dd792cb16214?,structured_lookup,sql,sql,True,sql_calculation,medium,0.5597,,False
8,Which customers have more than one order?,structured_lookup,sql,kg,False,sql_aggregation,medium,0.6063,,False
9,What is the average delivery time for shipped orders?,structured_lookup,sql,sql,True,sql_aggregation,medium,0.4161,,False
10,Which product category has the highest revenue?,structured_lookup,sql,sql,True,sql_aggregation,medium,0.5109,,False
11,Which customers bought products from a seller with delayed orders?,graph_lookup,kg,kg,True,graph_traversal,medium,0.5319,,False
12,Which orders connect customers to sellers with bad reviews?,graph_lookup,kg,kg,True,graph_relationship,medium,0.4891,,False
13,Which product categories are connected to late deliveries?,graph_lookup,kg,kg,True,graph_relationship,medium,0.5641,,False
14,Which sellers are linked to both delays and low review scores?,graph_lookup,kg,kg,True,graph_relationship,medium,0.594,,False
15,"If a customer received a damaged product, what should happen according to the policy?",pdf_retrieval,pdf,pdf,True,policy_lookup,medium,0.4642,,False
